species,island,clutch_completion,date_egg,flipper_length_mm,culmen_length_mm,body_mass_g,sex,body_mass_kg,culmen_bodymass_index,flipper_group,weight_class,date_time_utc03,year
Gentoo penguin,Biscoe,Yes,2008-11-04,216,49.6,4750,MALE,4.75,10.44,big flips,large,2008-11-04T15:10:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-03,222,50.5,5550,MALE,5.55,9.1,big flips,large,2008-11-03T10:40:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-03,217,43.6,4900,FEMALE,4.9,8.9,big flips,large,2008-11-03T16:20:00Z,2008
Gentoo penguin,Biscoe,No,2008-11-09,210,45.5,4200,FEMALE,4.2,10.83,small flips,medium,2008-11-09T12:50:00Z,2008
Gentoo penguin,Biscoe,No,2008-11-09,225,50.5,5400,MALE,5.4,9.35,big flips,large,2008-11-09T11:40:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-02,213,44.9,5100,FEMALE,5.1,8.8,big flips,large,2008-11-02T17:40:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-02,215,45.2,5300,MALE,5.3,8.53,big flips,large,2008-11-02T19:20:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-04,210,46.6,4850,FEMALE,4.85,9.61,small flips,large,2008-11-04T13:30:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-04,220,48.5,5300,MALE,5.3,9.15,big flips,large,2008-11-04T16:50:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-04,210,45.1,4400,FEMALE,4.4,10.25,small flips,large,2008-11-04T19:20:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-04,225,50.1,5000,MALE,5,10.02,big flips,large,2008-11-04T19:50:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-04,217,46.5,4900,FEMALE,4.9,9.49,big flips,large,2008-11-04T10:00:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-04,220,45,5050,MALE,5.05,8.91,big flips,large,2008-11-04T19:30:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-03,208,43.8,4300,FEMALE,4.3,10.19,small flips,large,2008-11-03T12:20:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-03,220,45.5,5000,MALE,5,9.1,big flips,large,2008-11-03T10:10:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-06,208,43.2,4450,FEMALE,4.45,9.71,small flips,large,2008-11-06T15:20:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-06,224,50.4,5550,MALE,5.55,9.08,big flips,large,2008-11-06T11:50:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-03,208,45.3,4200,FEMALE,4.2,10.79,small flips,medium,2008-11-03T20:40:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-03,221,46.2,5300,MALE,5.3,8.72,big flips,large,2008-11-03T19:30:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-13,214,45.7,4400,FEMALE,4.4,10.39,big flips,large,2008-11-13T19:50:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-13,231,54.3,5650,MALE,5.65,9.61,big flips,large,2008-11-13T16:00:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-04,219,45.8,4700,FEMALE,4.7,9.74,big flips,large,2008-11-04T20:00:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-04,230,49.8,5700,MALE,5.7,8.74,big flips,large,2008-11-04T18:20:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-09,214,46.2,4650,NA,4.65,9.94,big flips,large,2008-11-09T10:00:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-09,229,49.5,5800,MALE,5.8,8.53,big flips,large,2008-11-09T17:10:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-13,220,43.5,4700,FEMALE,4.7,9.26,big flips,large,2008-11-13T15:00:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-13,223,50.7,5550,MALE,5.55,9.14,big flips,large,2008-11-13T09:40:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-03,216,47.7,4750,FEMALE,4.75,10.04,big flips,large,2008-11-03T16:10:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-03,221,46.4,5000,MALE,5,9.28,big flips,large,2008-11-03T16:50:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-09,221,48.2,5100,MALE,5.1,9.45,big flips,large,2008-11-09T14:30:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-09,217,46.5,5200,FEMALE,5.2,8.94,big flips,large,2008-11-09T19:30:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-06,216,46.4,4700,FEMALE,4.7,9.87,big flips,large,2008-11-06T19:10:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-06,230,48.6,5800,MALE,5.8,8.38,big flips,large,2008-11-06T17:30:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-06,209,47.5,4600,FEMALE,4.6,10.33,small flips,large,2008-11-06T17:10:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-06,220,51.1,6000,MALE,6,8.52,big flips,large,2008-11-06T11:00:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-09,215,45.2,4750,FEMALE,4.75,9.52,big flips,large,2008-11-09T18:10:00Z,2008
Gentoo penguin,Biscoe,Yes,2008-11-09,223,45.2,5950,MALE,5.95,7.6,big flips,large,2008-11-09T19:30:00Z,2008
Gentoo penguin,Biscoe,Yes,2009-11-18,212,49.1,4625,FEMALE,4.625,10.62,big flips,large,2009-11-18T15:30:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-18,221,52.5,5450,MALE,5.45,9.63,big flips,large,2009-11-18T16:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-15,212,47.4,4725,FEMALE,4.725,10.03,big flips,large,2009-11-15T12:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-15,224,50,5350,MALE,5.35,9.35,big flips,large,2009-11-15T20:50:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-22,212,44.9,4750,FEMALE,4.75,9.45,big flips,large,2009-11-22T11:00:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-22,228,50.8,5600,MALE,5.6,9.07,big flips,large,2009-11-22T09:10:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-20,218,43.4,4600,FEMALE,4.6,9.43,big flips,large,2009-11-20T20:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-20,218,51.3,5300,MALE,5.3,9.68,big flips,large,2009-11-20T09:50:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-25,212,47.5,4875,FEMALE,4.875,9.74,big flips,large,2009-11-25T16:40:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-25,230,52.1,5550,MALE,5.55,9.39,big flips,large,2009-11-25T14:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-25,218,47.5,4950,FEMALE,4.95,9.6,big flips,large,2009-11-25T10:40:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-25,228,52.2,5400,MALE,5.4,9.67,big flips,large,2009-11-25T14:10:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-12-01,212,45.5,4750,FEMALE,4.75,9.58,big flips,large,2009-12-01T18:50:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-12-01,224,49.5,5650,MALE,5.65,8.76,big flips,large,2009-12-01T17:40:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-27,214,44.5,4850,FEMALE,4.85,9.18,big flips,large,2009-11-27T17:40:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-27,226,50.8,5200,MALE,5.2,9.77,big flips,large,2009-11-27T21:00:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-18,216,49.4,4925,MALE,4.925,10.03,big flips,large,2009-11-18T17:50:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-18,222,46.9,4875,FEMALE,4.875,9.62,big flips,large,2009-11-18T10:10:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-18,203,48.4,4625,FEMALE,4.625,10.46,small flips,large,2009-11-18T09:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-18,225,51.1,5250,MALE,5.25,9.73,big flips,large,2009-11-18T20:30:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-22,219,48.5,4850,FEMALE,4.85,10,big flips,large,2009-11-22T19:10:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-22,228,55.9,5600,MALE,5.6,9.98,big flips,large,2009-11-22T14:00:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-18,215,47.2,4975,FEMALE,4.975,9.49,big flips,large,2009-11-18T17:00:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-18,228,49.1,5500,MALE,5.5,8.93,big flips,large,2009-11-18T09:30:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-12-01,216,47.3,4725,NA,4.725,10.01,big flips,large,2009-12-01T16:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-12-01,215,46.8,5500,MALE,5.5,8.51,big flips,large,2009-12-01T09:40:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-10,210,41.7,4700,FEMALE,4.7,8.87,small flips,large,2009-11-10T13:10:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-10,219,53.4,5500,MALE,5.5,9.71,big flips,large,2009-11-10T10:30:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-09,208,43.3,4575,FEMALE,4.575,9.46,small flips,large,2009-11-09T20:40:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-09,209,48.1,5500,MALE,5.5,8.75,small flips,large,2009-11-09T11:30:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-20,216,50.5,5000,FEMALE,5,10.1,big flips,large,2009-11-20T17:00:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-20,229,49.8,5950,MALE,5.95,8.37,big flips,large,2009-11-20T09:40:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-27,213,43.5,4650,FEMALE,4.65,9.35,big flips,large,2009-11-27T20:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-27,230,51.5,5500,MALE,5.5,9.36,big flips,large,2009-11-27T13:00:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-25,217,46.2,4375,FEMALE,4.375,10.56,big flips,large,2009-11-25T15:00:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-25,230,55.1,5850,MALE,5.85,9.42,big flips,large,2009-11-25T12:00:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-12-01,217,44.5,4875,NA,4.875,9.13,big flips,large,2009-12-01T12:50:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-12-01,222,48.8,6000,MALE,6,8.13,big flips,large,2009-12-01T11:30:00Z,2009
Gentoo penguin,Biscoe,No,2009-12-01,214,47.2,4925,FEMALE,4.925,9.58,big flips,large,2009-12-01T18:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-22,215,46.8,4850,FEMALE,4.85,9.65,big flips,large,2009-11-22T20:20:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-22,222,50.4,5750,MALE,5.75,8.77,big flips,large,2009-11-22T17:30:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-22,212,45.2,5200,FEMALE,5.2,8.69,big flips,large,2009-11-22T19:30:00Z,2009
Gentoo penguin,Biscoe,Yes,2009-11-22,213,49.9,5400,MALE,5.4,9.24,big flips,large,2009-11-22T14:00:00Z,2009
Chinstrap penguin,Dream,No,2007-11-19,192,46.5,3500,FEMALE,3.5,13.29,small flips,small,2007-11-19T16:20:00Z,2007
Chinstrap penguin,Dream,No,2007-11-19,196,50,3900,MALE,3.9,12.82,small flips,medium,2007-11-19T18:00:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-26,193,51.3,3650,MALE,3.65,14.05,small flips,medium,2007-11-26T17:10:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-26,188,45.4,3525,FEMALE,3.525,12.88,small flips,medium,2007-11-26T10:40:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-21,197,52.7,3725,MALE,3.725,14.15,small flips,medium,2007-11-21T18:00:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-21,198,45.2,3950,FEMALE,3.95,11.44,small flips,medium,2007-11-21T15:50:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-28,178,46.1,3250,FEMALE,3.25,14.18,small flips,small,2007-11-28T13:50:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-28,197,51.3,3750,MALE,3.75,13.68,small flips,medium,2007-11-28T14:20:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-21,195,46,4150,FEMALE,4.15,11.08,small flips,medium,2007-11-21T09:10:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-21,198,51.3,3700,MALE,3.7,13.86,small flips,medium,2007-11-21T13:30:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-28,193,46.6,3800,FEMALE,3.8,12.26,small flips,medium,2007-11-28T10:10:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-28,194,51.7,3775,MALE,3.775,13.7,small flips,medium,2007-11-28T10:20:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-26,185,47,3700,FEMALE,3.7,12.7,small flips,medium,2007-11-26T20:20:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-26,201,52,4050,MALE,4.05,12.84,small flips,medium,2007-11-26T10:10:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-22,190,45.9,3575,FEMALE,3.575,12.84,small flips,medium,2007-11-22T15:40:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-22,201,50.5,4050,MALE,4.05,12.47,small flips,medium,2007-11-22T17:20:00Z,2007
Chinstrap penguin,Dream,No,2007-11-30,197,50.3,3300,MALE,3.3,15.24,small flips,small,2007-11-30T19:40:00Z,2007
Chinstrap penguin,Dream,No,2007-11-30,181,58,3700,FEMALE,3.7,15.68,small flips,medium,2007-11-30T14:30:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-30,190,46.4,3450,FEMALE,3.45,13.45,small flips,small,2007-11-30T10:50:00Z,2007
Chinstrap penguin,Dream,Yes,2007-11-30,195,49.2,4400,MALE,4.4,11.18,small flips,large,2007-11-30T12:40:00Z,2007
Chinstrap penguin,Dream,Yes,2007-12-03,181,42.4,3600,FEMALE,3.6,11.78,small flips,medium,2007-12-03T09:10:00Z,2007
Chinstrap penguin,Dream,Yes,2007-12-03,191,48.5,3400,MALE,3.4,14.26,small flips,small,2007-12-03T11:00:00Z,2007
Chinstrap penguin,Dream,No,2007-11-28,187,43.2,2900,FEMALE,2.9,14.9,small flips,small,2007-11-28T13:00:00Z,2007
Chinstrap penguin,Dream,No,2007-11-28,193,50.6,3800,MALE,3.8,13.32,small flips,medium,2007-11-28T19:30:00Z,2007
Chinstrap penguin,Dream,No,2007-11-28,195,46.7,3300,FEMALE,3.3,14.15,small flips,small,2007-11-28T10:10:00Z,2007
Chinstrap penguin,Dream,No,2007-11-28,197,52,4150,MALE,4.15,12.53,small flips,medium,2007-11-28T18:10:00Z,2007
Chinstrap penguin,Dream,No,2008-11-25,200,50.5,3400,FEMALE,3.4,14.85,small flips,small,2008-11-25T16:50:00Z,2008
Chinstrap penguin,Dream,No,2008-11-25,200,49.5,3800,MALE,3.8,13.03,small flips,medium,2008-11-25T13:10:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-14,191,46.4,3700,FEMALE,3.7,12.54,small flips,medium,2008-11-14T12:10:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-14,205,52.8,4550,MALE,4.55,11.6,small flips,large,2008-11-14T19:50:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-24,187,40.9,3200,FEMALE,3.2,12.78,small flips,small,2008-11-24T12:10:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-24,201,54.2,4300,MALE,4.3,12.6,small flips,large,2008-11-24T11:10:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-24,187,42.5,3350,FEMALE,3.35,12.69,small flips,small,2008-11-24T16:00:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-24,203,51,4100,MALE,4.1,12.44,small flips,medium,2008-11-24T18:50:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-25,195,49.7,3600,MALE,3.6,13.81,small flips,medium,2008-11-25T10:20:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-25,199,47.5,3900,FEMALE,3.9,12.18,small flips,medium,2008-11-25T18:50:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-14,195,47.6,3850,FEMALE,3.85,12.36,small flips,medium,2008-11-14T13:00:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-14,210,52,4800,MALE,4.8,10.83,small flips,large,2008-11-14T20:30:00Z,2008
Chinstrap penguin,Dream,No,2008-11-24,192,46.9,2700,FEMALE,2.7,17.37,small flips,small,2008-11-24T21:00:00Z,2008
Chinstrap penguin,Dream,No,2008-11-24,205,53.5,4500,MALE,4.5,11.89,small flips,large,2008-11-24T09:00:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-24,210,49,3950,MALE,3.95,12.41,small flips,medium,2008-11-24T12:50:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-24,187,46.2,3650,FEMALE,3.65,12.66,small flips,medium,2008-11-24T13:50:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-14,196,50.9,3550,MALE,3.55,14.34,small flips,medium,2008-11-14T14:40:00Z,2008
Chinstrap penguin,Dream,Yes,2008-11-14,196,45.5,3500,FEMALE,3.5,13,small flips,small,2008-11-14T16:20:00Z,2008
Chinstrap penguin,Dream,Yes,2009-11-17,196,50.9,3675,FEMALE,3.675,13.85,small flips,medium,2009-11-17T12:30:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-17,201,50.8,4450,MALE,4.45,11.42,small flips,large,2009-11-17T16:40:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-27,190,50.1,3400,FEMALE,3.4,14.74,small flips,small,2009-11-27T10:20:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-27,212,49,4300,MALE,4.3,11.4,big flips,large,2009-11-27T20:40:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-23,187,51.5,3250,MALE,3.25,15.85,small flips,small,2009-11-23T20:10:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-23,198,49.8,3675,FEMALE,3.675,13.55,small flips,medium,2009-11-23T12:00:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-21,199,48.1,3325,FEMALE,3.325,14.47,small flips,small,2009-11-21T16:50:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-21,201,51.4,3950,MALE,3.95,13.01,small flips,medium,2009-11-21T15:40:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-23,193,45.7,3600,FEMALE,3.6,12.69,small flips,medium,2009-11-23T11:40:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-23,203,50.7,4050,MALE,4.05,12.52,small flips,medium,2009-11-23T12:50:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-27,187,42.5,3350,FEMALE,3.35,12.69,small flips,small,2009-11-27T19:40:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-27,197,52.2,3450,MALE,3.45,15.13,small flips,small,2009-11-27T11:00:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-21,191,45.2,3250,FEMALE,3.25,13.91,small flips,small,2009-11-21T14:20:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-21,203,49.3,4050,MALE,4.05,12.17,small flips,medium,2009-11-21T15:10:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-21,202,50.2,3800,MALE,3.8,13.21,small flips,medium,2009-11-21T16:00:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-21,194,45.6,3525,FEMALE,3.525,12.94,small flips,medium,2009-11-21T09:00:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-27,206,51.9,3950,MALE,3.95,13.14,small flips,medium,2009-11-27T12:10:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-27,189,46.8,3650,FEMALE,3.65,12.82,small flips,medium,2009-11-27T12:20:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-19,195,45.7,3650,FEMALE,3.65,12.52,small flips,medium,2009-11-19T18:10:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-19,207,55.8,4000,MALE,4,13.95,small flips,medium,2009-11-19T09:20:00Z,2009
Chinstrap penguin,Dream,No,2009-11-21,202,43.5,3400,FEMALE,3.4,12.79,small flips,small,2009-11-21T20:50:00Z,2009
Chinstrap penguin,Dream,No,2009-11-21,193,49.6,3775,MALE,3.775,13.14,small flips,medium,2009-11-21T19:00:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-21,210,50.8,4100,MALE,4.1,12.39,small flips,medium,2009-11-21T19:40:00Z,2009
Chinstrap penguin,Dream,Yes,2009-11-21,198,50.2,3775,FEMALE,3.775,13.3,small flips,medium,2009-11-21T13:50:00Z,2009
